date,rain,snow,T_air_max,T_air_min
1/1/1900,,,18,6
1/2/1900,0,0,26,6
1/3/1900,0,0,30,13
1/4/1900,0,0,41,18
1/5/1900,,0,45,36
1/6/1900,,0,47,38
1/7/1900,,0,50,38
1/8/1900,,0,46,35
1/9/1900,,0,50,32
1/10/1900,0.07,0,51,42
1/11/1900,0.84,0,53,34
1/12/1900,0.06,,34,31
1/13/1900,,,44,33
1/14/1900,0,0,58,39
1/15/1900,0,0,62,38
1/16/1900,0.01,0,60,46
1/17/1900,0.01,0,62,43
1/18/1900,0.21,0,56,48
1/19/1900,0.35,0,50,44
1/20/1900,0.39,0,49,36
1/21/1900,0,0,46,36
1/22/1900,0,0,53,32
1/23/1900,0,0,59,39
1/24/1900,0,0,60,39
1/25/1900,0.12,0,51,20
1/26/1900,,,24,14
1/27/1900,0,0,38,14
1/28/1900,0.05,1,33,4
1/29/1900,0,0,19,-1
1/30/1900,0.02,0.3,21,14
1/31/1900,0,0,14,1
2/1/1900,0,0,19,1
2/2/1900,0,0,36,18
2/3/1900,0,0,49,25
2/4/1900,0.5,0,49,29
2/5/1900,,0,39,27
2/6/1900,0.07,0,50,38
2/7/1900,0.5,0,56,46
2/8/1900,0.71,0,68,31
2/9/1900,0.01,0,34,19
2/10/1900,0,0,42,29
2/11/1900,0,0,46,29
2/12/1900,0.24,0,54,44
2/13/1900,0.11,0,54,29
2/14/1900,0,0,40,24
2/15/1900,0,0,42,26
2/16/1900,0.46,5,26,13
2/17/1900,0.05,0.6,13,-3
2/18/1900,,,18,2
2/19/1900,0,0,31,12
2/20/1900,0,0,44,25
2/21/1900,0.2,0,53,37
2/22/1900,0.12,,44,30
2/23/1900,0.02,,48,26
2/24/1900,0.14,0.8,48,7
2/25/1900,,,14,-4
2/26/1900,,,21,12
2/27/1900,,,34,13
2/28/1900,0.04,0,52,34
3/1/1900,0.15,,44,26
3/2/1900,0.01,0.1,33,27
3/3/1900,,,41,28
3/4/1900,,0,58,32
3/5/1900,,0,57,43
3/6/1900,0.25,0,57,30
3/7/1900,0,0,40,26
3/8/1900,0,0,54,31
3/9/1900,0,0,62,39
3/10/1900,0,0,55,38
3/11/1900,0,0,67,36
3/12/1900,0,0,50,24
3/13/1900,0,0,62,38
3/14/1900,0,0,38,28
3/15/1900,0.28,3.2,33,23
3/16/1900,0.05,0.7,23,8
3/17/1900,0,0,25,4
3/18/1900,0.08,0,45,25
3/19/1900,0.39,0,56,43
3/20/1900,0.04,,43,23
3/21/1900,0,0,37,21
3/22/1900,0,0,54,29
3/23/1900,0,0,51,42
3/24/1900,0,0,57,38
3/25/1900,0.36,0,46,36
3/26/1900,0.11,0,64,34
3/27/1900,0,0,56,30
3/28/1900,0,0,54,36
3/29/1900,0.26,0,47,37
3/30/1900,,,40,31
3/31/1900,,,42,29
4/1/1900,0,0,52,32
4/2/1900,0,0,57,42
4/3/1900,0,0,56,37
4/4/1900,0,0,47,31
4/5/1900,0,0,56,31
4/6/1900,0,0,68,39
4/7/1900,0,0,75,49
4/8/1900,0,0,76,54
4/9/1900,,0,54,36
4/10/1900,0.02,0,44,26
4/11/1900,0.24,0,55,35
4/12/1900,0,0,43,31
4/13/1900,0,0,48,36
4/14/1900,0,0,61,38
4/15/1900,0,0,72,45
4/16/1900,0.35,0,62,54
4/17/1900,0.24,0,72,56
4/18/1900,0,0,73,52
4/19/1900,0,0,68,47
4/20/1900,0.26,0,66,54
4/21/1900,,0,71,58
4/22/1900,0.02,0,73,54
4/23/1900,0,0,70,55
